rank,ip,port,max_connect,max_total,tries
1,172.64.148.42,2053,0,0,confirmed
2,172.64.148.42,2087,0,0,confirmed
3,172.64.147.56,2087,3,172,;3:166:000;1:172:000
4,172.64.149.171,2053,2,181,;2:181:000;2:172:000
5,172.64.149.252,8443,3,184,;3:184:000;3:164:000
6,172.64.147.78,8443,2,188,;2:185:000;2:188:000
7,172.64.147.118,2087,2,191,;2:191:000;2:177:000
8,172.64.148.43,443,2,189,;2:189:000;2:184:000
9,172.64.147.245,2087,2,192,;2:180:000;2:192:000
10,172.64.149.181,8443,3,184,;3:184:000;2:184:000
11,172.64.148.113,443,2,200,;2:200:000;2:159:000
12,172.64.149.63,8443,2,196,;2:196:000;2:171:000
13,172.64.148.173,8443,2,195,;2:195:000;2:175:000
14,172.64.147.137,8443,3,186,;3:185:000;2:186:000
15,172.64.149.52,2083,2,198,;2:198:000;2:170:000
16,172.64.148.98,2087,2,197,;1:174:000;2:197:000
17,172.64.147.131,2083,3,188,;2:188:000;3:182:000
18,172.64.147.174,2053,3,191,;2:191:000;3:181:000
19,172.64.149.244,443,3,193,;3:193:000;3:175:000
20,172.64.149.144,2096,4,191,;2:162:000;4:191:000
21,172.64.149.171,2087,3,198,;2:167:000;3:198:000
22,172.64.149.223,2087,2,199,;2:186:000;2:199:000
23,172.64.148.27,2053,3,193,;3:185:000;3:193:000
24,172.64.148.243,8443,3,194,;2:194:000;3:183:000
25,172.64.147.120,8443,4,190,;3:182:000;4:190:000
26,172.64.149.153,2053,3,195,;3:189:000;3:195:000
27,172.64.148.155,2083,2,203,;2:203:000;2:186:000
28,172.64.149.48,2096,3,195,;3:195:000;2:193:000
29,172.64.147.237,2083,2,200,;2:199:000;2:200:000
30,172.64.148.183,2083,3,199,;2:199:000;3:183:000
